Course Name,Category,Subcategory,Overall Rating,Number of Ratings,Students Enrolled,Created By,Last Update,Language,Number of Translations,Original Price,Discounted Price,Course Duration,Number of Lessons
MySQL Bootcamp: Go from SQL Beginner to Expert (2023),Database Design & Development,MySQL,4,94,"2,571",Jayanta Sarkar,5.2022,English,English [Auto],ג‚×349.90,ג‚×43.90,6 hours,None
Learn GetX Flutter & Build Shopping App | REST API PHP MySQL,Mobile Development,Google Flutter,4.4,94,450,Coding Cafe,5.2023,English,English [Auto],ג‚×89.90,ג‚×43.90,25.5 hours,25
Master ChatGPT 4 | Ultimate ChatGPT Prompt Writing course,Data Science,ChatGPT,4.4,94,933,Marius Manola,5.2023,English,English [Auto],ג‚×349.90,ג‚×43.90,8 hours,72
Learn SignalR: Make a Full Featured Chat App From Scratch,Web Development,SignalR,4.6,94,384,D. Penev,6.2015,English,English [Auto],ג‚×139.90,ג‚×43.90,42 mins,None
Learn Docker For Absolute Beginners,Web Development,Docker,4.2,94,"5,583",Ahmed Tabana,6.202,English,English [Auto],ג‚×69.90,ג‚×43.90,1.5 hours,None
"ETL for beginners : ( SSIS, SSDT ,ETL, MS-SQL Server )",Database Design & Development,ETL,4.1,94,"1,865",Bluelime Learning Solutions,6.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,3 hours,4
Creating Your First iPhone App,Mobile Development,iOS Development,3.9,94,"1,023",Nick Walter,7.2016,English,English [Auto],ג‚×105.90,ג‚×43.90,2 hours,1
Apps without coding,Mobile Development,App Development,3.6,94,"4,783",Linus E,7.2018,English,English [Auto],ג‚×229.90,ג‚×43.90,2.5 hours,None
Git Ultimate Essentials: Everything you NEED to know,Software Development Tools,Git,4.7,94,434,Reece Kenney,7.2019,English,English [Auto],ג‚×179.90,ג‚×43.90,2.5 hours,None
Basics of R Software for Data Science,Data Science,R (programming language),4.5,94,"1,280",Prof. R. Madana Mohana,7.2021,English,,ג‚×105.90,ג‚×43.90,4.5 hours,None
Big Data Complete Course,Data Science,Big Data,3.8,94,"27,573",Edcorner Learning,7.2021,English,English [Auto],ג‚×349.90,ג‚×43.90,18.5 hours,None
"Flutter 2.2 & Firebase, build a complete app from scratch",Mobile Development,Firebase,4.6,94,"10,250",Hadi Kachmar,7.2022,English,English [Auto],ג‚×299.90,ג‚×43.90,9 hours,2
Redis Database Tutorial,Database Design & Development,Redis,4.4,94,"11,695",Frank Anemaet,8.2021,English,English [Auto],ג‚×69.90,ג‚×43.90,35 mins,None
Java SELENIUM MasterClass CORE JAVA,Software Testing,Java,3.4,94,"5,758",Kal John,9.2017,English,English [Auto],ג‚×69.90,ג‚×43.90,6 hours,None
The Complete iOS 11 Development Course: Swift 4 and Xcode 9,Mobile Development,Xcode,4.3,94,413,Avinash Jain,9.2017,English,English [Auto],ג‚×349.90,ג‚×43.90,8 hours,1
Starting with Ember.js 2,Programming Languages,Ember.js,3.8,94,491,Stone River eLearning,9.2019,English,English [Auto],ג‚×349.90,ג‚×43.90,5 hours,1
AWS DynamoDB - Complete Guide 2023 (incl Schema Designing),Database Design & Development,DynamoDB,4,94,624,Sashrika Waidyarathna,9.202,English,English [Auto],ג‚×69.90,ג‚×43.90,6 hours,None
JavaScript Tutorial,Web Development,JavaScript,1.4,94,616,IT Solutions,10.2016,English,English [Auto],ג‚×349.90,ג‚×43.90,4.5 hours,None
